Signé,Nom luminaire,Artiste / Dates,Année,Catégorie,Editeur,Spécialité,Collaboration / Œuvre,Description,Matériaux,Dimensions,Estimation,Image luminaire (Nom du fichier),Image designer (imagedesigner),Lien site marchand,Etiquette,Bibliographie
Non,,Roberto Fallani (1937 - ?),,,,"Sculpteur, architecte et designer italien.",Formitalia,,,,,luminaire_5739.jpg,,,,
Non,Attribué,Roberto Gabetti (1925-2000) & Aimaro Isola (1928 - ).,,,,Architectes et designers italie.,Arbo,,,,,luminaire_3413.jpg,,,,
Non,Bul-Bo,Roberto Gabetti (1925-2000) & Aimaro Isola (1928 - ).,1969,,,Architectes et designers italie.,Arbo,,,,,luminaire_3414.jpg,,,,
Non,Tetralogia - Ca,Roberto Gabetti (1925-2000) & Aimaro Isola (1928 - ).,1970,,,Architectes et designers italie.,Arbo,,,,,luminaire_3412.jpg,,,,
Non,,Roberto Giampiero Aloi (1897-1981).,,,,Peintre et sculpteur italien.,STILNOVO,,,,,luminaire_2005.jpg,,,,
Non,,Roberto Giampiero Aloi (1897-1981).,,,,Peintre et sculpteur italien.,STILNOVO,,,,,luminaire_2008.jpg,,,,
Non,,Roberto Giampiero Aloi (1897-1981).,,,,Peintre et sculpteur italien.,STILNOVO,,,,,luminaire_2009.jpg,,,,
Non,,Roberto Giampiero Aloi (1897-1981).,,,,Peintre et sculpteur italien.,STILNOVO,,,,,luminaire_2010.jpg,,,,
Non,158,Roberto Giampiero Aloi (1897-1981).,,,,Peintre et sculpteur italien.,STILNOVO,,,,,luminaire_2011.jpg,,,,
Non,Modele 4067,Roberto Giampiero Aloi (1897-1981).,1960,,,Peintre et sculpteur italien.,STILNOVO,,,,,luminaire_2006.jpg,,,,
Non,,Roberto Giulio Rida (1943 -).,,,,"Artiste, designer Italie.",,,,,,luminaire_5501.jpg,,,,
Non,,Roberto Giulio Rida (1943 -).,,,,"Artiste, designer Italie.",,,,,,luminaire_5505.jpg,,,,
Non,Gabbia,Roberto Giulio Rida (1943 -).,,,,"Artiste, designer Italie.",,,,,,luminaire_5506.jpg,,,,
Non,Pigne,Roberto Giulio Rida (1943 -).,,,,"Artiste, designer Italie.",,,,,,luminaire_5504.jpg,,,,
Non,Pratino,Roberto Giulio Rida (1943 -).,,,,"Artiste, designer Italie.",,,,,,luminaire_5503.jpg,,,,
Oui,R G RIDA,Roberto Giulio Rida (1943 -).,,,,"Artiste, designer Italie.",,,,,,luminaire_5500.jpg,,,,
Non,,Roberto Menghi (1920 - 2006).,,,,Designers italien.,FontanaArte. Lamperti & Co,,,,,luminaire_4236.jpg,,,,
Non,,Roberto Menghi (1920 - 2006).,,,,Designers italien.,FontanaArte. Lamperti & Co,,,,,luminaire_4237.jpg,,,,
Non,,Roberto Menghi (1920 - 2006).,,,,Designers italien.,FontanaArte. Lamperti & Co,,,,,luminaire_4238.jpg,,,,
Non,,Roberto Menghi (1920 - 2006).,,,,Designers italien.,FontanaArte. Lamperti & Co,,,,,luminaire_4239.jpg,,,,
Non,,Roberto Menghi (1920 - 2006).,,,,Designers italien.,FontanaArte. Lamperti & Co,,,,,luminaire_4240.jpg,,,,
Non,,Roberto Pamio (1937 - ).,,,,Architecte et designer italien.,"Fabbian, Leucos",,,,,luminaire_3364.jpg,,,,
Non,,Roberto Pamio (1937 - ).,,,,Architecte et designer italien.,"Fabbian, Leucos",,,,,luminaire_3367.jpg,,,,
Non,,Roberto Pamio (1937 - ).,,,,Architecte et designer italien.,"Fabbian, Leucos",,,,,luminaire_3369.jpg,,,,
Non,Aghia - Ca,Roberto Pamio (1937 - ).,1960,,,Architecte et designer italien.,"Fabbian, Leucos",,,,,luminaire_3366.jpg,,,,
Non,Febo - Ca,Roberto Pamio (1937 - ).,1970,,,Architecte et designer italien.,"Fabbian, Leucos",,,,,luminaire_3365.jpg,,,,
Non,Gill,Roberto Pamio (1937 - ).,1962,,,Architecte et designer italien.,"Fabbian, Leucos",,,,,luminaire_3370.jpg,,,,
