Signé,Nom luminaire,Artiste / Dates,Année,Catégorie,Editeur,Spécialité,Collaboration / Œuvre,Description,Matériaux,Dimensions,Estimation,Image luminaire (Nom du fichier),Image designer (imagedesigner),Lien site marchand,Etiquette,Bibliographie
Non,Modèle - Ca 1960,Helena Tynell (1918-2016).,1993,,,Verrière finlandaise.,Glassuth Limburg,,,,,luminaire_3181.jpg,,,,
Non,Modèle 2045 - Ca,Helena Tynell (1918-2016).,1960,,,Verrière finlandaise.,Glassuth Limburg,,,,,luminaire_3180.jpg,,,,
Non,Modèle 4183 - Ca,Helena Tynell (1918-2016).,1960,,,Verrière finlandaise.,Glassuth Limburg,,,,,luminaire_3176.jpg,,,,
Oui,,Hélène Sibeud (active dans le premier quart du XXe siècle).,,,,On sait peu de choses sur cette artiste féminine de la fin de siècle parisienne.,Daum,,,,,luminaire_805.jpg,,,,
Oui,,Hélène Sibeud (active dans le premier quart du XXe siècle).,,,,On sait peu de choses sur cette artiste féminine de la fin de siècle parisienne.,Daum,,,,,luminaire_806.jpg,,,,
Non,,Hélène Sibeud (active dans le premier quart du XXe siècle).,,,,On sait peu de choses sur cette artiste féminine de la fin de siècle parisienne.,Daum,,,,,luminaire_807.jpg,,,,
Oui,,Hélène Sibeud (active dans le premier quart du XXe siècle).,,,,On sait peu de choses sur cette artiste féminine de la fin de siècle parisienne.,Daum,,,,,luminaire_808.jpg,,,,
Oui,,Hélène Sibeud (active dans le premier quart du XXe siècle).,,,,On sait peu de choses sur cette artiste féminine de la fin de siècle parisienne.,Daum,,,,,luminaire_809.jpg,,,,
Non,,Hélène Sibeud (active dans le premier quart du XXe siècle).,,,,On sait peu de choses sur cette artiste féminine de la fin de siècle parisienne.,Daum,,,,,luminaire_810.jpg,,,,
Non,Bon Bon,Helle Mardahl (1976 - ).,,,,Artiste et designer danoise.,,,,,,luminaire_8219.jpg,,,,
Non,Bon Bon,Helle Mardahl (1976 - ).,,,,Artiste et designer danoise.,,,,,,luminaire_8220.jpg,,,,
Non,Bon Bon,Helle Mardahl (1976 - ).,,,,Artiste et designer danoise.,,,,,,luminaire_8221.jpg,,,,
Non,Bon Bon,Helle Mardahl (1976 - ).,,,,Artiste et designer danoise.,,,,,,luminaire_8222.jpg,,,,
Non,,Hendrik Petrus Berlage (1856 - 1934).,,,,Architecte néerlandais.,Jac van den Bosch,,,,,luminaire_1721.jpg,,,,
Non,,Hendrik Petrus Berlage (1856 - 1934).,,,,Architecte néerlandais.,Jac van den Bosch,,,,,luminaire_1722.jpg,,,,
Non,,Hendrik Petrus Berlage (1856 - 1934).,,,,Architecte néerlandais.,Jac van den Bosch,,,,,luminaire_1723.jpg,,,,
Non,Chrystal Evo,HENGE (?-?).,,,,Concepteur et fabricant de luminaires italien.,,,,,,luminaire_8342.jpg,,,,
Non,Ghost,HENGE (?-?).,,,,Concepteur et fabricant de luminaires italien.,,,,,,luminaire_8343.jpg,,,,
Non,Light ring,HENGE (?-?).,,,,Concepteur et fabricant de luminaires italien.,,,,,,luminaire_8339.jpg,,,,
Non,Tape light,HENGE (?-?).,,,,Concepteur et fabricant de luminaires italien.,,,,,,luminaire_8340.jpg,,,,
Non,Tubular,HENGE (?-?).,,,,Concepteur et fabricant de luminaires italien.,,,,,,luminaire_8341.jpg,,,,
Non,,Henk Stallinga (1962 -).,,,,Artiste contemporain néerlandais.,,,,,,luminaire_5961.jpg,,,,
Non,,Henk Stallinga (1962 -).,,,,Artiste contemporain néerlandais.,,,,,,luminaire_5962.jpg,,,,
Non,Chain Reaction,Henk Stallinga (1962 -).,2018,,,Artiste contemporain néerlandais.,,,,,,luminaire_5963.jpg,,,,
Non,Dark Hearted,Henk Stallinga (1962 -).,,,,Artiste contemporain néerlandais.,,,,,,luminaire_5964.jpg,,,,
Non,Lumalasch,Henk Stallinga (1962 -).,,,,Artiste contemporain néerlandais.,,,,,,luminaire_5965.jpg,,,,
Non,Attribué,Henri Auguste Fourdinois (1759- 1816).,,,,"Grand orfèvre parisien, travaillant dans le style néoclassique. rival de Jean-Baptiste Claude Odiot et Martin-Guillaume Biennais.",Le sculpteur Jean Guillaume Moitte,,,,,luminaire_287.jpg,,,,
Non,,Henri ferronnier (?-?),,,,Lyonnais pour la firme « Le Fer Forgé » à travailler avec tous les plus grands verrier Français.,"Daum, Schneider, Noverdy",,,,,luminaire_1792.jpg,,,,
Non,,Henri ferronnier (?-?),,,,Lyonnais pour la firme « Le Fer Forgé » à travailler avec tous les plus grands verrier Français.,"Daum, Schneider, Noverdy",,,,,luminaire_1794.jpg,,,,
Non,,Henri ferronnier (?-?),,,,Lyonnais pour la firme « Le Fer Forgé » à travailler avec tous les plus grands verrier Français.,"Daum, Schneider, Noverdy",,,,,luminaire_1795.jpg,,,,
Non,,Henri ferronnier (?-?),,,,Lyonnais pour la firme « Le Fer Forgé » à travailler avec tous les plus grands verrier Français.,"Daum, Schneider, Noverdy",,,,,luminaire_1796.jpg,,,,
Oui,H.F,Henri ferronnier (?-?),,,,Lyonnais pour la firme « Le Fer Forgé » à travailler avec tous les plus grands verrier Français.,"Daum, Schneider, Noverdy",,,,,luminaire_1793.jpg,,,,
Non,,"Henri Jules Ferdinand Bellery-Desfontaines, dit Henri Bellery-Desfontaines (1867 - 1909).",1910,,,"Artiste pluridisciplinaire français, peintre, illustrateur, graveur, lithographe, affichiste, architecte et décorateur de la période de l’Art nouveau.",,,,,,luminaire_1038.jpg,,,,
Oui,,Henri Keramik ( -).,,,,Céramiste danois.,,,,,,luminaire_3635.jpg,,,,
Oui,,Henri Louis Levasseur (1853- 1934).,,,,Sculpteur français.,,,,,,luminaire_983.jpg,,,,
Non,,Henri Louis Levasseur (1853- 1934).,,,,Sculpteur français.,,,,,,luminaire_984.jpg,,,,
Non,,Henri Louis Levasseur (1853- 1934).,,,,Sculpteur français.,,,,,,luminaire_985.jpg,,,,
Non,,Henri Louis Levasseur (1853- 1934).,,,,Sculpteur français.,,,,,,luminaire_986.jpg,,,,
Non,,Henri Mathieu (?-?).,,,,Designer français.,"Lyfa, Mathieu Lustrerie.",,,,,luminaire_3901.jpg,,,,
Non,,Henri Mathieu (?-?).,,,,Designer français.,"Lyfa, Mathieu Lustrerie.",,,,,luminaire_3902.jpg,,,,
Non,,Henri Mathieu (?-?).,,,,Designer français.,"Lyfa, Mathieu Lustrerie.",,,,,luminaire_3903.jpg,,,,
Non,,Henri Mathieu (?-?).,,,,Designer français.,"Lyfa, Mathieu Lustrerie.",,,,,luminaire_3905.jpg,,,,
Non,,Henri Mathieu (?-?).,,,,Designer français.,"Lyfa, Mathieu Lustrerie.",,,,,luminaire_3906.jpg,,,,
Non,,Henri Mathieu (?-?).,,,,Designer français.,"Lyfa, Mathieu Lustrerie.",,,,,luminaire_3907.jpg,,,,
Oui,,Henri Picard (actif de 1831 à 1884).,,,,Doreur et bronzier à Paris.,Raingo Frères,,,,,luminaire_496.jpg,,,,
Non,,Henri Picard (actif de 1831 à 1884).,,,,Doreur et bronzier à Paris.,Raingo Frères,,,,,luminaire_497.jpg,,,,
Non,,Henri Picard (actif de 1831 à 1884).,,,,Doreur et bronzier à Paris.,Raingo Frères,,,,,luminaire_498.jpg,,,,
Non,,Henri Picard (actif de 1831 à 1884).,,,,Doreur et bronzier à Paris.,Raingo Frères,,,,,luminaire_499.jpg,,,,
Oui,,Henri Picard (actif de 1831 à 1884).,,,,Doreur et bronzier à Paris.,Raingo Frères,,,,,luminaire_500.jpg,,,,
Non,,Henri Rapin (1873 - 1939).,,,,"Ilustrateur, peintre et décorateur français. Conseiller artistique à la manufacture de Sèvres de 1920 à 1934 et y inventa de nouvelles formes.","Manufacture de Sevres, Jean-Baptiste Gauvenet.",,,,,luminaire_1606.jpg,,,,
Oui,1921et,Henri Rapin (1873 - 1939).,1923,,,"Ilustrateur, peintre et décorateur français. Conseiller artistique à la manufacture de Sèvres de 1920 à 1934 et y inventa de nouvelles formes.","Manufacture de Sevres, Jean-Baptiste Gauvenet.",,,,,luminaire_1608.jpg,,,,
Non,Ca,Henri Rapin (1873 - 1939).,1920,,,"Ilustrateur, peintre et décorateur français. Conseiller artistique à la manufacture de Sèvres de 1920 à 1934 et y inventa de nouvelles formes.","Manufacture de Sevres, Jean-Baptiste Gauvenet.",,,,,luminaire_1605.jpg,,,,
Non,Mobilier national,Henri Rapin (1873 - 1939).,1923,,,"Ilustrateur, peintre et décorateur français. Conseiller artistique à la manufacture de Sèvres de 1920 à 1934 et y inventa de nouvelles formes.","Manufacture de Sevres, Jean-Baptiste Gauvenet.",,,,,luminaire_1607.jpg,,,,
Non,"Collection du Louvre, Paris",Henri Séraphin Louis Vian (1858 - 1904).,,,,Fabriquant de bronzes français.,,,,,,luminaire_625.jpg,,,,
Oui,,Henri Vian (1860-1905).,,,,"Célèbre bronzier et fondeur, grand-père de Boris Vian, s’était spécialisé dans la production de bronzes d’ameublement, éclairage.",,,,,,luminaire_376.jpg,,,,
Oui,,Henri Vian (1860-1905).,,,,"Célèbre bronzier et fondeur, grand-père de Boris Vian, s’était spécialisé dans la production de bronzes d’ameublement, éclairage.",,,,,,luminaire_377.jpg,,,,
Oui,,Henri Vian (1860-1905).,,,,"Célèbre bronzier et fondeur, grand-père de Boris Vian, s’était spécialisé dans la production de bronzes d’ameublement, éclairage.",,,,,,luminaire_378.jpg,,,,
Oui,,Henri Vian (1860-1905).,,,,"Célèbre bronzier et fondeur, grand-père de Boris Vian, s’était spécialisé dans la production de bronzes d’ameublement, éclairage.",,,,,,luminaire_379.jpg,,,,
Oui,,Henri Vian (1860-1905).,,,,"Célèbre bronzier et fondeur, grand-père de Boris Vian, s’était spécialisé dans la production de bronzes d’ameublement, éclairage.",,,,,,luminaire_380.jpg,,,,
Oui,,Henri Vian (1860-1905).,,,,"Célèbre bronzier et fondeur, grand-père de Boris Vian, s’était spécialisé dans la production de bronzes d’ameublement, éclairage.",,,,,,luminaire_381.jpg,,,,
Non,,"Henri-Antoine Beau (1855, - 1937).",,,,"La maison Lecoq et Beau, spécialisé dans le luminaire à gaz. il prit la succession Beau et Bertrand Taillet 1881, puis Henri Beau et Cie de 1898.",J. Dampt,,,,,luminaire_392.jpg,,,,
Non,,"Henri-Antoine Beau (1855, - 1937).",,,,"La maison Lecoq et Beau, spécialisé dans le luminaire à gaz. il prit la succession Beau et Bertrand Taillet 1881, puis Henri Beau et Cie de 1898.",J. Dampt,,,,,luminaire_393.jpg,,,,
Non,,Henry Cahieux (1825-1854).,,,,"Chef des décorateurs du fabricant de bronzes d’art Ferdinand Barbedienne, Pièce de style Grec.",F. Barbedienne,,,,,luminaire_579.jpg,,,,
Oui,55 - ca,Henry Cahieux (1825-1854).,1850,,,"Chef des décorateurs du fabricant de bronzes d’art Ferdinand Barbedienne, Pièce de style Grec.",F. Barbedienne,,,,,luminaire_575.jpg,,,,
Non,Exposition universelle,Henry Cahieux (1825-1854).,1855,,,"Chef des décorateurs du fabricant de bronzes d’art Ferdinand Barbedienne, Pièce de style Grec.",F. Barbedienne,,,,,luminaire_576.jpg,,,,
Non,Exposition universelle,Henry Cahieux (1825-1854).,1855,,,"Chef des décorateurs du fabricant de bronzes d’art Ferdinand Barbedienne, Pièce de style Grec.",F. Barbedienne,,,,,luminaire_578.jpg,,,,
Oui,ca,Henry Cahieux (1825-1854).,1850,,,"Chef des décorateurs du fabricant de bronzes d’art Ferdinand Barbedienne, Pièce de style Grec.",F. Barbedienne,,,,,luminaire_577.jpg,,,,
Oui,ca E,Henry Cahieux (1825-1854).,1850,,,"Chef des décorateurs du fabricant de bronzes d’art Ferdinand Barbedienne, Pièce de style Grec.",F. Barbedienne,,,,,luminaire_574.jpg,,,,
Non,,Henry Clement Van de Velde (1863 - 1957).,1903,,,"Peintre, architecte, décorateur d'intérieur et enseignant belge.",,,,,,luminaire_901.jpg,,,,
Non,,Henry Clement Van de Velde (1863 - 1957).,,,,"Peintre, architecte, décorateur d'intérieur et enseignant belge.",,,,,,luminaire_902.jpg,,,,
Non,,Henry Clement Van de Velde (1863 - 1957).,,,,"Peintre, architecte, décorateur d'intérieur et enseignant belge.",,,,,,luminaire_903.jpg,,,,
Non,,Henry Clement Van de Velde (1863 - 1957).,1907,,,"Peintre, architecte, décorateur d'intérieur et enseignant belge.",,,,,,luminaire_904.jpg,,,,
Non,,Henry Clement Van de Velde (1863 - 1957).,,,,"Peintre, architecte, décorateur d'intérieur et enseignant belge.",,,,,,luminaire_905.jpg,,,,
Non,,Henry Dasson (1825 - 1896).,,,,Ebéniste et bronzier du XIX siècle.,,,,,,luminaire_358.jpg,,,,
Oui,,Henry Dasson (1825 - 1896).,,,,Ebéniste et bronzier du XIX siècle.,,,,,,luminaire_359.jpg,,,,
Oui,,Henry Dasson (1825 - 1896).,,,,Ebéniste et bronzier du XIX siècle.,,,,,,luminaire_360.jpg,,,,
Oui,,Henry Dasson (1825 - 1896).,,,,Ebéniste et bronzier du XIX siècle.,,,,,,luminaire_361.jpg,,,,
Oui,,Henry Dasson (1825 - 1896).,,,,Ebéniste et bronzier du XIX siècle.,,,,,,luminaire_362.jpg,,,,
Non,Modèle d’après Gouthière,Henry Dasson (1825 - 1896).,,,,Ebéniste et bronzier du XIX siècle.,,,,,,luminaire_357.jpg,,,,
Non,,Henry Dietrich Fernandez (1950-2009).,,,,Maître de conférences dans les départements d’architecture et d'architecture intérieure de la Rhode Island School of Design .,Maison Honore.,,,,,luminaire_3783.jpg,,,,
Oui,,Henry Dietrich Fernandez (1950-2009).,,,,Maître de conférences dans les départements d’architecture et d'architecture intérieure de la Rhode Island School of Design .,Maison Honore.,,,,,luminaire_3784.jpg,,,,
Oui,,Henry Dietrich Fernandez (1950-2009).,,,,Maître de conférences dans les départements d’architecture et d'architecture intérieure de la Rhode Island School of Design .,Maison Honore.,,,,,luminaire_3785.jpg,,,,
Oui,,Henry Dietrich Fernandez (1950-2009).,,,,Maître de conférences dans les départements d’architecture et d'architecture intérieure de la Rhode Island School of Design .,Maison Honore.,,,,,luminaire_3786.jpg,,,,
Non,,Henry Dietrich Fernandez (1950-2009).,,,,Maître de conférences dans les départements d’architecture et d'architecture intérieure de la Rhode Island School of Design .,Maison Honore.,,,,,luminaire_3787.jpg,,,,
Non,A vérifier,Henry Dietrich Fernandez (1950-2009).,,,,Maître de conférences dans les départements d’architecture et d'architecture intérieure de la Rhode Island School of Design .,Maison Honore.,,,,,luminaire_3788.jpg,,,,
Non,,Henry Wilson (?-?).,,,,Designer australien.,,,,,,luminaire_5947.jpg,,,,
Non,Conical,Henry Wilson (?-?).,,,,Designer australien.,,,,,,luminaire_5945.jpg,,,,
Non,Fold,Henry Wilson (?-?).,,,,Designer australien.,,,,,,luminaire_5944.jpg,,,,
Non,Pillar,Henry Wilson (?-?).,,,,Designer australien.,,,,,,luminaire_5946.jpg,,,,
Non,Surface,Henry Wilson (?-?).,,,,Designer australien.,,,,,,luminaire_5948.jpg,,,,
Non,,Herbert C.Simonson (1930 -,,,,Artiste américain.,James Martin,,,,,luminaire_3463.jpg,,,,
Non,,Herbert C.Simonson (1930 -,,,,Artiste américain.,James Martin,,,,,luminaire_3464.jpg,,,,
Non,Hommage,Herbert Jacob Weinand (1953 - ).,1989,,,Designer allemand.,,,,,,luminaire_5691.jpg,,,,
Non,Tribelli,Herbert Jacob Weinand (1953 - ).,1989,,,Designer allemand.,,,,,,luminaire_5692.jpg,,,,
Non,,Herman Theodoor Jan Anthoin (H. Th. J. A.) Busquet (1914 - 1977).,,,,Le designer industriel moderniste hollandais.,"Hala Zeist, Pays-Bas",,,,,luminaire_2460.jpg,,,,
Non,,Herman Theodoor Jan Anthoin (H. Th. J. A.) Busquet (1914 - 1977).,,,,Le designer industriel moderniste hollandais.,"Hala Zeist, Pays-Bas",,,,,luminaire_2461.jpg,,,,
Non,,Herman Theodoor Jan Anthoin (H. Th. J. A.) Busquet (1914 - 1977).,,,,Le designer industriel moderniste hollandais.,"Hala Zeist, Pays-Bas",,,,,luminaire_2462.jpg,,,,
Non,,Herman Theodoor Jan Anthoin (H. Th. J. A.) Busquet (1914 - 1977).,,,,Le designer industriel moderniste hollandais.,"Hala Zeist, Pays-Bas",,,,,luminaire_2463.jpg,,,,
Non,,Herman Theodoor Jan Anthoin (H. Th. J. A.) Busquet (1914 - 1977).,,,,Le designer industriel moderniste hollandais.,"Hala Zeist, Pays-Bas",,,,,luminaire_2465.jpg,,,,
Non,Fiesta,Herman Theodoor Jan Anthoin (H. Th. J. A.) Busquet (1914 - 1977).,,,,Le designer industriel moderniste hollandais.,"Hala Zeist, Pays-Bas",,,,,luminaire_2464.jpg,,,,
Non,Bolide,Hermian Sneyders de Vogel ( - ),,,,Designer au Pays-Bas.,RAAK,,,,,luminaire_4637.jpg,,,,
Non,Zen,Hermian Sneyders de Vogel ( - ),,,,Designer au Pays-Bas.,RAAK,,,,,luminaire_4636.jpg,,,,
Non,Alexandrine,Hermine Bourdin (1985 - ).,,,,Artiste et sculpteur française.,,,,,,luminaire_8262.jpg,,,,
Non,Barbara,Hermine Bourdin (1985 - ).,,,,Artiste et sculpteur française.,,,,,,luminaire_8259.jpg,,,,
Non,Claudette,Hermine Bourdin (1985 - ).,,,,Artiste et sculpteur française.,,,,,,luminaire_8261.jpg,,,,
Non,Hermine,Hermine Bourdin (1985 - ).,,,,Artiste et sculpteur française.,,,,,,luminaire_8260.jpg,,,,
Non,Paulette,Hermine Bourdin (1985 - ).,,,,Artiste et sculpteur française.,,,,,,luminaire_8258.jpg,,,,
Non,,Hermine Torikian (-).,,,,Ebeniste parisienne.,,,,,,luminaire_9073.jpg,,,,
Non,,Hermine Torikian (-).,,,,Ebeniste parisienne.,,,,,,luminaire_9074.jpg,,,,
Non,Carré,Hervé Isle de chaine (1959 - ).,,,,Crée et édite des luminaires depuis 26 ans sous la marque Hisle.,Tournaire,,,,,luminaire_6247.jpg,,,,
Non,Contact,Hervé Isle de chaine (1959 - ).,,,,Crée et édite des luminaires depuis 26 ans sous la marque Hisle.,Tournaire,,,,,luminaire_6248.jpg,,,,
Non,Insitu,Hervé Isle de chaine (1959 - ).,,,,Crée et édite des luminaires depuis 26 ans sous la marque Hisle.,Tournaire,,,,,luminaire_6250.jpg,,,,
Non,Luxciole,Hervé Isle de chaine (1959 - ).,,,,Crée et édite des luminaires depuis 26 ans sous la marque Hisle.,Tournaire,,,,,luminaire_6249.jpg,,,,
Non,Neptune,Hervé Isle de chaine (1959 - ).,,,,Crée et édite des luminaires depuis 26 ans sous la marque Hisle.,Tournaire,,,,,luminaire_6246.jpg,,,,
Non,Tube Alchimie,Hervé Isle de chaine (1959 - ).,,,,Crée et édite des luminaires depuis 26 ans sous la marque Hisle.,Tournaire,,,,,luminaire_6251.jpg,,,,
Non,,Hervé Van der Straeten (1965 - ).,,,,"Designer français, créateur de mobilier, de luminaires, de miroirs et de bijoux.",,,,,,luminaire_6212.jpg,,,,
Non,Athena,Hervé Van der Straeten (1965 - ).,2015,,,"Designer français, créateur de mobilier, de luminaires, de miroirs et de bijoux.",,,,,,luminaire_6214.jpg,,,,
Non,Coque,Hervé Van der Straeten (1965 - ).,,,,"Designer français, créateur de mobilier, de luminaires, de miroirs et de bijoux.",,,,,,luminaire_6217.jpg,,,,
Non,Givre,Hervé Van der Straeten (1965 - ).,,,,"Designer français, créateur de mobilier, de luminaires, de miroirs et de bijoux.",,,,,,luminaire_6213.jpg,,,,
Non,Pirouette,Hervé Van der Straeten (1965 - ).,2012,,,"Designer français, créateur de mobilier, de luminaires, de miroirs et de bijoux.",,,,,,luminaire_6215.jpg,,,,
Non,Volubile,Hervé Van der Straeten (1965 - ).,,,,"Designer français, créateur de mobilier, de luminaires, de miroirs et de bijoux.",,,,,,luminaire_6216.jpg,,,,
Non,,Herzog & de Meuron (1978 - ).,,,,Agence d'architecture suisse fondé par Jacques Herzog et Pierre de Meuron.,"Artemide, Regent",,,,,luminaire_5654.jpg,,,,
Non,ACT,Herzog & de Meuron (1978 - ).,2009,,,Agence d'architecture suisse fondé par Jacques Herzog et Pierre de Meuron.,"Artemide, Regent",,,,,luminaire_5652.jpg,,,,
Non,Musée Unterlinden,Herzog & de Meuron (1978 - ).,2014,,,Agence d'architecture suisse fondé par Jacques Herzog et Pierre de Meuron.,"Artemide, Regent",,,,,luminaire_5653.jpg,,,,
Non,Pipe,Herzog & de Meuron (1978 - ).,2002,,,Agence d'architecture suisse fondé par Jacques Herzog et Pierre de Meuron.,"Artemide, Regent",,,,,luminaire_5655.jpg,,,,
Non,Thé,Herzog & de Meuron (1978 - ).,2008,,,Agence d'architecture suisse fondé par Jacques Herzog et Pierre de Meuron.,"Artemide, Regent",,,,,luminaire_5651.jpg,,,,
Non,Shadow forest,Hilden & Diaz (2011 - ).,,,,Collaboration de deux artistes Thyra Hilden et Pio Diaz.,Lustre inspiré des dessins d'Ernst Haeckel biologiste allemand.,,,,,luminaire_7621.jpg,,,,
Non,Shadow forest,Hilden & Diaz (2011 - ).,,,,Collaboration de deux artistes Thyra Hilden et Pio Diaz.,Lustre inspiré des dessins d'Ernst Haeckel biologiste allemand.,,,,,luminaire_7622.jpg,,,,
Non,4839,Hin Bredendieck (1904-1995).,1931,,,Créateur de mobilier allemand.,"Marianne Brandt, Hermann Gautel, Kandem",,,,,luminaire_1760.jpg,,,,
Non,Modèle 717,Hin Bredendieck (1904-1995).,1934,,,Créateur de mobilier allemand.,"Marianne Brandt, Hermann Gautel, Kandem",,,,,luminaire_1758.jpg,,,,
Non,Modèle 906,Hin Bredendieck (1904-1995).,1920,,,Créateur de mobilier allemand.,"Marianne Brandt, Hermann Gautel, Kandem",,,,,luminaire_1761.jpg,,,,
Non,Modèle 967,Hin Bredendieck (1904-1995).,1934,,,Créateur de mobilier allemand.,"Marianne Brandt, Hermann Gautel, Kandem",,,,,luminaire_1759.jpg,,,,
Non,,Hippolyte Moreau (1832 - 1926) - Auguste Moreau (1834 - 1917) - Mathurin Moreau (1822 - 1912).,,,,Les Moreau sont une famille de sculpteur français.,,,,,,luminaire_387.jpg,,,,
Non,Chandelier of Prayer,Hiroki Takada (1967 - ).,2011,,,Designer japonais.,Panzeri,,,,,luminaire_6394.jpg,,,,
Non,Floral,Hiroki Takada (1967 - ).,2006,,,Designer japonais.,Panzeri,,,,,luminaire_6393.jpg,,,,
Non,Tutu,Hiroki Takada (1967 - ).,2012,,,Designer japonais.,Panzeri,,,,,luminaire_6392.jpg,,,,
Non,,His Mountain Stream - Hans Bergstrôm (- ).,,,,Architecte suedois.,Asea,,,,,luminaire_2650.jpg,,,,
Non,,His Mountain Stream - Hans Bergstrôm (- ).,,,,Architecte suedois.,Asea,,,,,luminaire_2652.jpg,,,,
Non,,His Mountain Stream - Hans Bergstrôm (- ).,,,,Architecte suedois.,Asea,,,,,luminaire_2653.jpg,,,,
Oui,ASEA,His Mountain Stream - Hans Bergstrôm (- ).,,,,Architecte suedois.,Asea,,,,,luminaire_2651.jpg,,,,
Non,,Hoffmann - Lederer (1899 - 1970).,,,,"Sculpteur, graphiste, designer allemand.","HL Leuchten, Heinz Hecht",,,,,luminaire_2658.jpg,,,,
Non,,Hoffmann - Lederer (1899 - 1970).,,,,"Sculpteur, graphiste, designer allemand.","HL Leuchten, Heinz Hecht",,,,,luminaire_2659.jpg,,,,
Non,,Hoffmann - Lederer (1899 - 1970).,,,,"Sculpteur, graphiste, designer allemand.","HL Leuchten, Heinz Hecht",,,,,luminaire_2660.jpg,,,,
Non,,Hoffmann - Lederer (1899 - 1970).,,,,"Sculpteur, graphiste, designer allemand.","HL Leuchten, Heinz Hecht",,,,,luminaire_2661.jpg,,,,
Non,,Hoffmann - Lederer (1899 - 1970).,,,,"Sculpteur, graphiste, designer allemand.","HL Leuchten, Heinz Hecht",,,,,luminaire_2662.jpg,,,,
Non,,Hoffmann - Lederer (1899 - 1970).,,,,"Sculpteur, graphiste, designer allemand.","HL Leuchten, Heinz Hecht",,,,,luminaire_2663.jpg,,,,
Non,,Holger Johansson (?-?).,,,,Designer suédois.,Westal AB,,,,,luminaire_3158.jpg,,,,
Non,,Holger Johansson (?-?).,,,,Designer suédois.,Westal AB,,,,,luminaire_3159.jpg,,,,
Non,,Holger Johansson (?-?).,,,,Designer suédois.,Westal AB,,,,,luminaire_3160.jpg,,,,
Non,,Holger Johansson (?-?).,,,,Designer suédois.,Westal AB,,,,,luminaire_3161.jpg,,,,
Non,,Holger Johansson (?-?).,,,,Designer suédois.,Westal AB,,,,,luminaire_3162.jpg,,,,
Non,,Holger Johansson (?-?).,,,,Designer suédois.,Westal AB,,,,,luminaire_3163.jpg,,,,
Non,,Holly Hunt ( -).,,,,Fabricant de luminaire américain.,Alison Berger,,,,,luminaire_6104.jpg,,,,
Non,,Holly Hunt ( -).,,,,Fabricant de luminaire américain.,Alison Berger,,,,,luminaire_6105.jpg,,,,
Non,,Holly Hunt ( -).,,,,Fabricant de luminaire américain.,Alison Berger,,,,,luminaire_6106.jpg,,,,
Non,,Holly Hunt ( -).,,,,Fabricant de luminaire américain.,Alison Berger,,,,,luminaire_6107.jpg,,,,
Non,,Holly Hunt ( -).,,,,Fabricant de luminaire américain.,Alison Berger,,,,,luminaire_6108.jpg,,,,
Non,,Holly Hunt ( -).,,,,Fabricant de luminaire américain.,Alison Berger,,,,,luminaire_6110.jpg,,,,
Non,,Holophane (1921 - ).,,,,Holophane est leader mondial des composants optiques.,"VERLYS, Ruhimann bon marché",,,,,luminaire_3152.jpg,,,,
Non,,Holophane (1921 - ).,,,,Holophane est leader mondial des composants optiques.,"VERLYS, Ruhimann bon marché",,,,,luminaire_3153.jpg,,,,
Non,,Holophane (1921 - ).,,,,Holophane est leader mondial des composants optiques.,"VERLYS, Ruhimann bon marché",,,,,luminaire_3154.jpg,,,,
Non,,Holophane (1921 - ).,,,,Holophane est leader mondial des composants optiques.,"VERLYS, Ruhimann bon marché",,,,,luminaire_3157.jpg,,,,
Non,No. 22338S. - Ca,Holophane (1921 - ).,1950,,,Holophane est leader mondial des composants optiques.,"VERLYS, Ruhimann bon marché",,,,,luminaire_3156.jpg,,,,
Non,Ruhimann bon marché,Holophane (1921 - ).,,,,Holophane est leader mondial des composants optiques.,"VERLYS, Ruhimann bon marché",,,,,luminaire_3155.jpg,,,,
Non,Cocoon,HOMMÉS Studio ( - ).,,,,Studio de design portugais.,,,,,,luminaire_8759.jpg,,,,
Non,Leafus,HOMMÉS Studio ( - ).,,,,Studio de design portugais.,,,,,,luminaire_8758.jpg,,,,
Non,Luminous,HOMMÉS Studio ( - ).,,,,Studio de design portugais.,,,,,,luminaire_8756.jpg,,,,
Non,Miyake,HOMMÉS Studio ( - ).,,,,Studio de design portugais.,,,,,,luminaire_8757.jpg,,,,
Non,Ribon,HOMMÉS Studio ( - ).,,,,Studio de design portugais.,,,,,,luminaire_8760.jpg,,,,
Oui,,Hopillart (1781 - ?).,,,,"Maison de meuble et de bronze. En 1931, elle prend le nom d'Hopilliart et Leroux magasin d’antiquité.",Marcel Proust client,,,,,luminaire_511.jpg,,,,
Oui,,Horacio CORDERO & Juan Pablo MOLYNEUX (-),,,,Artistes italiens.,,,,,,luminaire_5712.jpg,,,,
Oui,,Horacio CORDERO & Juan Pablo MOLYNEUX (-),,,,Artistes italiens.,,,,,,luminaire_5713.jpg,,,,
Oui,,Horacio CORDERO & Juan Pablo MOLYNEUX (-),,,,Artistes italiens.,,,,,,luminaire_5714.jpg,,,,
Non,,Horn Belysning (1952 - ).,,,,Fabricant de luminaire danois.,,,,,,luminaire_5289.jpg,,,,
Non,,Horn Belysning (1952 - ).,,,,Fabricant de luminaire danois.,,,,,,luminaire_5290.jpg,,,,
Non,,Horn Belysning (1952 - ).,,,,Fabricant de luminaire danois.,,,,,,luminaire_5291.jpg,,,,
